num_expediente;tipo_accidente;distrito;estado_meteorologico;franja_horaria;tipo_via;coordenada_x_utm;coordenada_y_utm;fecha;hora_numero;nivel_lesividad
2024S028213;Colisión doble;MONCLOA-ARAVACA;Lluvia débil;Tarde;Vías rápidas o carreteras;437252,0;4477385,0;2024-10-08;19;0
2024S028214;Alcance;CARABANCHEL;Lluvia débil;Tarde;Vías de gran tamaño;436944,0;4469443,0;2024-10-08;18;0
2024S028216;Alcance;SAN BLAS-CANILLEJAS;Lluvia débil;Tarde;Vías de pequeño tamaño;448693,0;4475513,0;2024-10-08;19;0
2024S028217;Colisión doble;SALAMANCA;Lluvia débil;Tarde;Vías de pequeño tamaño;441863,0;4475758,0;2024-10-08;19;0
2024S028219;Colisión doble;TETUÁN;Nublado;Tarde;Vías de pequeño tamaño;441431,0;4479664,0;2024-10-08;18;0
2024S028220;Colisión doble;PUENTE DE VALLECAS;Nublado;Tarde;Vías de pequeño tamaño;443455,0;4472565,0;2024-10-08;18;1
2024S028221;Choque;SALAMANCA;Lluvia débil;Tarde;Vías de gran tamaño;443801,0;4476429,0;2024-10-08;19;0
2024S028222;Caída;CIUDAD LINEAL;Nublado;Tarde;Vías de pequeño tamaño;444316,0;4475904,0;2024-10-08;19;1
2024S028223;Caída;BARAJAS;Lluvia débil;Noche;Vías de gran tamaño;450340,0;4479487,0;2024-10-08;20;1
2024S028224;Caída;CENTRO;Nublado;Tarde;Vías de pequeño tamaño;440620,0;4473039,0;2024-10-08;18;1
2024S028225;Colisión doble;MONCLOA-ARAVACA;Nublado;Noche;Vías de gran tamaño;438335,0;4476028,0;2024-10-08;20;0
2024S028226;Colisión doble;RETIRO;Lluvia débil;Noche;Plazas o glorietas;442622,0;4473650,0;2024-10-08;20;0
2024S028227;Caída;RETIRO;Lluvia débil;Tarde;Vías de pequeño tamaño;441916,0;4474677,0;2024-10-08;19;1
2024S028228;Choque;CENTRO;Lluvia débil;Tarde;Vías de gran tamaño;439482,0;4473367,0;2024-10-08;19;1
2024S028229;Alcance;USERA;Lluvia débil;Tarde;Vías de gran tamaño;441030,0;4469147,0;2024-10-08;19;0
2024S028230;Colisión doble;SAN BLAS-CANILLEJAS;Nublado;Tarde;Vías de gran tamaño;448083,0;4476104,0;2024-10-08;16;1
2024S028231;Colisión doble;MORATALAZ;Nublado;Noche;Vías de pequeño tamaño;446085,0;4471798,0;2024-10-08;20;0
2024S028232;Alcance;ARGANZUELA;Lluvia débil;Noche;Vías rápidas o carreteras;442760,0;4471697,0;2024-10-08;20;0
2024S028233;Alcance;CENTRO;Nublado;Mediodía;Vías de pequeño tamaño;440294,0;4475641,0;2024-10-08;15;1
2024S028235;Choque;USERA;Despejado;Noche;Vías de pequeño tamaño;439236,0;4468906,0;2024-10-08;21;0
2024S028237;Alcance;CIUDAD LINEAL;Nublado;Noche;Vías de pequeño tamaño;443986,0;4478177,0;2024-10-08;21;1
2024S028238;Colisión doble;PUENTE DE VALLECAS;Nublado;Noche;Vías rápidas o carreteras;441960,0;4469785,0;2024-10-08;22;1
2024S028240;Colisión doble;CENTRO;Despejado;Noche;Vías de pequeño tamaño;440960,0;4474474,0;2024-10-08;22;1
2024S028241;Colisión doble;CHAMBERÍ;Despejado;Noche;Vías de pequeño tamaño;440682,0;4475551,0;2024-10-08;22;0
2024S028242;Choque;FUENCARRAL-EL PARDO;Nublado;Noche;Vías de pequeño tamaño;439765,0;4480460,0;2024-10-08;23;0
2024S028246;Choque;VILLA DE VALLECAS;Lluvia débil;Madrugada;Vías de gran tamaño;448039,0;4468507,0;2024-10-09;0;0
2024S028247;Colisión doble;SALAMANCA;Lluvia débil;Madrugada;Instalaciones o infraestructuras;442580,0;4476552,0;2024-10-09;2;0
2024S028251;Caída;VILLA DE VALLECAS;Lluvia débil;Madrugada;Vías de gran tamaño;443748,0;4467893,0;2024-10-09;3;1
2024S028252;Alcance;RETIRO;Nublado;Madrugada;Vías de gran tamaño;441476,0;4473238,0;2024-10-09;6;1
